country_code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SWE,12.6,13.0,13.1,12.8652828471003,15.0,14.9669469297684,14.6,14.7,14.8,15.5,15.5
SWZ,3.0,4.0,4.0,4.095547390098,4.1,4.23300820628733,4.3,4.3,4.3,4.3,4.3
SXM,,,,5.0561797752809,8.1,8.09845074272912,8.1,8.1,8.2,8.2,8.2
SYC,0.0,0.1,0.1,0.0513670647204141,0.1,0.0513686681320179,15.7,32.8,32.8,32.8,32.8
SYR,0.7,0.7,0.7,0.66292384624593,0.7,0.662806451357412,0.7,0.7,0.7,0.7,0.7
TCA,0.4,0.4,0.4,0.387735700796855,0.4,0.387451664312368,0.4,0.4,0.4,0.4,0.4
TCD,18.6,18.6,18.6,20.3544453722663,20.4,20.3544358034532,20.4,21.0,21.0,21.0,21.0
TGO,21.9,21.8,21.8,21.7913330548002,21.8,21.7910925889806,21.8,22.1,22.1,22.1,22.1
THA,12.5,12.5,12.5,12.5097447231165,12.5,12.5097581187036,12.5,13.3,13.3,13.3,13.4
TJK,19.7,22.3,22.3,22.278588511869,22.3,22.2786610881726,22.3,22.3,22.3,22.3,22.3
TKM,3.2,3.2,3.2,3.21223105882721,3.2,3.21223845567095,3.2,3.2,3.2,3.2,3.2
TLS,3.3,3.3,3.3,4.42200884053989,4.4,4.42304453978833,5.2,5.2,5.2,5.2,5.2
TON,1.5,1.5,1.5,1.52163261595664,1.5,1.52165140342354,0.1,0.1,0.1,0.1,0.1
TTO,2.1,2.1,2.0,2.01452631474999,2.0,2.01442316051301,2.0,2.0,2.0,2.0,2.0
TUN,3.7,3.7,3.7,5.20860952560716,5.2,5.20859939962545,5.2,5.2,5.2,5.2,5.2
TUR,2.2,0.2,0.2,0.190624822703985,0.2,0.190652366562585,0.2,0.2,5.7,5.7,5.7
TUV,0.0,0.0,0.0,0.00860724172331735,0.0,0.00859404213623363,0.0,0.0,0.0,0.0,0.0
TZA,26.0,26.0,26.0,30.8434525614166,30.9,30.9703296098506,31.0,31.0,31.0,31.2,32.4
UGA,16.1,16.1,16.1,16.0640835978875,16.1,16.0639496289362,16.1,16.1,16.1,16.1,16.1
UKR,3.9,3.9,3.9,3.86287620859695,3.9,3.88167902094994,3.9,4.2,12.3,12.3,12.3
URY,1.7,1.7,1.7,2.32500934184476,2.3,2.29507712745326,2.4,2.4,2.4,2.4,2.4
USA,13.5,12.0,20.1,26.326199718432,26.6,26.328083601169,26.3,23.9,15.9,15.9,15.9
UZB,3.4,3.4,3.4,3.3750589802659,3.4,3.37521371527249,3.4,5.8,5.8,5.8,9.5
VCT,0.2,0.5,0.5,0.465862061493792,0.5,0.466562636505707,0.5,0.5,0.5,0.5,0.5
VEN,36.9,36.9,36.9,36.9025423875064,36.9,36.9025524393404,36.9,39.0,39.0,39.0,39.0
VGB,0.1,0.1,0.1,0.0743447440124602,0.0,0.0239265980805522,0.0,0.0,0.0,0.0,0.0
VIR,0.6,1.0,1.0,0.991597515787276,1.0,0.983624337365397,1.0,0.6,1.0,1.0,1.0
VNM,2.6,2.6,2.9,2.92944743522906,2.9,2.92950692092655,2.9,2.9,2.9,2.9,2.9
VUT,0.1,0.1,0.1,0.0907589290005189,0.1,0.090716740815002,0.1,0.1,0.1,0.1,0.1
WSM,0.2,0.2,0.2,0.228551141091498,0.2,0.242263364980923,0.2,0.3,0.3,0.3,0.3
YEM,0.6,0.6,0.6,0.605805312181478,0.6,0.605801443960698,0.6,0.6,0.6,0.6,0.6
ZAF,9.8,10.6,11.7,12.9850092764781,13.0,10.2606485926041,11.8,12.4,12.5,12.7,12.7
ZMB,38.0,38.0,38.0,38.0490508448198,37.9,37.8700104508234,41.3,41.3,41.3,41.3,41.3
ZWE,28.1,26.7,26.7,27.2145424089062,27.2,27.2145851759137,27.2,27.2,27.2,27.2,28.3
